what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921470841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921471880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921471996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921473910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921479791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921480680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921481235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921483673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362921490440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921494626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921508878
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921522419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921523287
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921523763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921526120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362921528841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362921530772
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1362921532121
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921535484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921537233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921538103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921538603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921542008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921546480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921547341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921547879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921553392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362921557634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362921559460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921560976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921561735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921562210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921567945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362921570079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921571970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921572614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921573092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921575119
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362921579019
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921580031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362921582498
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362921583283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362921587026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921590520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921591582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921592049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921599015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921603354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921604190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921605118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921605604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921609855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921613826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921616152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921616973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921617459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921621575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921630035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921631199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921632316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921632802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921646752
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362921652306
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1362921654265
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921656490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362921660674
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921661825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362921663018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362921671898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921673065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921673548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362921677547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921678393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921678556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362921682769
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362921684910
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362921689982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362921697126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921698545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921699780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921701178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921701908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921702474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921707317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362921780570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362921788301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921793225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921793361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921793585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921793713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921793825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921793937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921794058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921794577
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362921801519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362921801799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362921802280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362921804183
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921804617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362921810881
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921811984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362921813279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921816910
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1362921834630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921838956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362921850324
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921850703
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921850738
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921852816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362921858497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362921862288
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921863238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362921864877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362921886300
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1362921901311
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362921901641
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921904023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362921909499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362921919442
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921936247
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921938224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362921941720
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362921942822
