what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.google.gdt.eclipse.designer.UiBinder,2.5.0.r35x201202061313,"com.google.gdt.eclipse.designer.UiBinder",1382013544168
stopped,bundle,org.eclipse.wb.core.databinding.xml,1.5.0.r37x201206111216,"org.eclipse.wb.core.databinding.xml",1382013544168
stopped,bundle,org.eclipse.wb.core.xml,1.5.0.r37x201206111216,"org.eclipse.wb.core.xml",1382013544168
stopped,bundle,org.eclipse.wst.xml.ui,1.1.401.v201308132110,"org.eclipse.wst.xml.ui",1382013544168
stopped,bundle,org.eclipse.wst.xsd.core,1.1.800.v201302131613,"org.eclipse.wst.xsd.core",1382013544169
stopped,bundle,org.eclipse.jpt.common.eclipselink.core,1.0.0.v201105180000,"org.eclipse.jpt.common.eclipselink.core",1382013544170
stopped,bundle,org.eclipse.wst.xml.core,1.1.801.v201308100603,"org.eclipse.wst.xml.core",1382013544170
stopped,bundle,com.soyatec.diagrams,3.7.1.20110624,"com.soyatec.diagrams",1382013544171
stopped,bundle,org.eclipse.compare.win32,1.0.200.v20130514-1224,"org.eclipse.compare.win32",1382013544172
stopped,bundle,org.eclipse.emf.exporter,2.7.0.v20130902-0605,"org.eclipse.emf.exporter",1382013544173
stopped,bundle,org.eclipse.emf.importer.ecore,2.7.0.v20130902-0605,"org.eclipse.emf.importer.ecore",1382013544174
stopped,bundle,org.eclipse.emf.importer.java,2.7.0.v20130902-0605,"org.eclipse.emf.importer.java",1382013544174
stopped,bundle,org.eclipse.emf.importer.rose,2.7.0.v20130902-0605,"org.eclipse.emf.importer.rose",1382013544175
stopped,bundle,org.eclipse.emf.importer,2.8.0.v20130902-0605,"org.eclipse.emf.importer",1382013544176
stopped,bundle,org.eclipse.emf.converter,2.6.0.v20130902-0605,"org.eclipse.emf.converter",1382013544176
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.9.1.v20130902-0605,"org.eclipse.emf.codegen.ecore.ui",1382013544176
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.6.0.v20130902-0605,"org.eclipse.emf.mapping.ecore2ecore.editor",1382013544177
stopped,bundle,org.eclipse.emf.ecore.editor,2.9.0.v20130902-0605,"org.eclipse.emf.ecore.editor",1382013544177
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.6.0.v20130902-0605,"org.eclipse.emf.mapping.ecore2xml.ui",1382013544178
stopped,bundle,org.eclipse.emf.mapping.ui,2.6.0.v20130902-0605,"org.eclipse.emf.mapping.ui",1382013544178
stopped,bundle,com.soyatec.model,3.7.1.20110624,"com.soyatec.model",1382013544179
stopped,bundle,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor",1382013544180
stopped,bundle,org.eclipse.emf.edit.ui,2.9.0.v20130902-0605,"org.eclipse.emf.edit.ui",1382013544180
stopped,bundle,org.eclipse.wst.common.snippets,1.2.200.v201204260225,"org.eclipse.wst.common.snippets",1382013544181
stopped,bundle,edu.buffalo.cse.green.relationship.association,3.5.0,"edu.buffalo.cse.green.relationship.association",1382013544182
stopped,bundle,edu.buffalo.cse.green.relationship.composition,3.5.0,"edu.buffalo.cse.green.relationship.composition",1382013544183
stopped,bundle,edu.buffalo.cse.green.relationship.dependency,3.5.0,"edu.buffalo.cse.green.relationship.dependency",1382013544184
stopped,bundle,edu.buffalo.cse.green.relationship.generalization,3.5.0,"edu.buffalo.cse.green.relationship.generalization",1382013544184
stopped,bundle,edu.buffalo.cse.green.relationship.realization,3.5.0,"edu.buffalo.cse.green.relationship.realization",1382013544185
stopped,bundle,edu.buffalo.cse.green,3.5.0,"edu.buffalo.cse.green",1382013544185
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.9,"org.tigris.subversion.subclipse.graph",1382013544185
stopped,bundle,org.eclipse.gef,3.9.0.201308190730,"org.eclipse.gef",1382013544185
stopped,bundle,org.eclipse.datatools.connectivity.oda.flatfile.ui,3.1.8.v201308131104,"org.eclipse.datatools.connectivity.oda.flatfile.ui",1382013544186
stopped,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.2.9.v201305031540,"org.eclipse.datatools.connectivity.oda.design.ui",1382013544186
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries.ui,1.0.3.v201212120614,"org.eclipse.datatools.enablement.ibm.db2.iseries.ui",1382013544187
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.luw.ui,1.0.4.v201212120614,"org.eclipse.datatools.enablement.ibm.db2.luw.ui",1382013544188
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.zseries.ui,1.0.2.v201202100836,"org.eclipse.datatools.enablement.ibm.db2.zseries.ui",1382013544189
stopped,bundle,org.eclipse.datatools.enablement.ibm.informix.ui,1.0.3.v201202100836,"org.eclipse.datatools.enablement.ibm.informix.ui",1382013544190
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201107221501,"org.eclipse.datatools.enablement.jdt.classpath",1382013544190
stopped,bundle,org.eclipse.datatools.enablement.msft.sqlserver.ui,1.0.4.v201308031011,"org.eclipse.datatools.enablement.msft.sqlserver.ui",1382013544191
stopped,bundle,org.eclipse.datatools.enablement.mysql.ui,1.0.0.v201109022331,"org.eclipse.datatools.enablement.mysql.ui",1382013544192
stopped,bundle,org.eclipse.datatools.enablement.oracle.ui,1.0.3.v201201131121,"org.eclipse.datatools.enablement.oracle.ui",1382013544193
stopped,bundle,org.eclipse.datatools.enablement.sap.maxdb.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sap.maxdb.ui",1382013544194
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v201107221520,"org.eclipse.datatools.sqltools.plan",1382013544195
stopped,bundle,org.eclipse.datatools.sqltools.result.ui,1.1.3.v201302061703,"org.eclipse.datatools.sqltools.result.ui",1382013544196
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.1.v201212120623,"org.eclipse.datatools.sqltools.common.ui",1382013544196
stopped,bundle,org.eclipse.datatools.connectivity.ui,1.2.4.v201212070447,"org.eclipse.datatools.connectivity.ui",1382013544197
stopped,bundle,org.eclipse.jem.beaninfo,2.0.300.v200905030615,"org.eclipse.jem.beaninfo",1382013544198
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201002081900,"org.eclipse.jst.common.annotations.ui",1382013544199
stopped,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1382013544199
stopped,bundle,org.eclipse.jem,2.0.600.v201201051400,"org.eclipse.jem",1382013544199
stopped,bundle,org.eclipse.jem.proxy,2.0.400.v201101101900,"org.eclipse.jem.proxy",1382013544200
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1382013544201
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1382013544202
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1382013544204
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1382013544205
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1382013544205
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1382013544206
stopped,bundle,org.eclipse.jst.server.ui,1.1.202.v20110419,"org.eclipse.jst.server.ui",1382013544207
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.103.v201102260635,"org.eclipse.wst.command.env.ui",1382013544208
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1382013544209
stopped,bundle,org.eclipse.egit.ui,3.0.3.201309161630-r,"org.eclipse.egit.ui",1382013544209
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.300.v20130503-1750,"org.eclipse.equinox.p2.ui.sdk",1382013544209
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.101.v201208171701,"org.eclipse.wst.jsdt.debug.rhino.ui",1382013544210
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.300.v201209252144,"org.eclipse.wst.jsdt.debug.ui",1382013544211
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.402.v201208171701,"org.eclipse.wst.jsdt.support.firefox",1382013544212
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.400.v201308141852,"org.eclipse.wst.jsdt.ui",1382013544212
